1033,2,2,26,4,1,1,45,5,1,2,3,D,2,4584,4505,79,31324,22224,4502,4502,4002,1000,1260,1742,500,0,500,0,0,0,0,0,0,9100,7100,7100,7100,0,0,0,0,0,0,2000,7100,0,0,0,0,0,0,0,0,0,26692,25000,12000,13000,1692,1692,0,0,130,0,130,0,130,0,0,1781
1034,1,2,26,4,1,1,54,3,1,2,1,F,7,1888,1883,5,17495,11426,3899,3899,3899,659,1645,1595,0,0,0,0,0,0,0,0,0,6069,6069,6069,6000,0,0,69,0,0,0,0,1000,0,0,0,0,0,0,5000,69,0,13401,12000,12000,0,1401,1401,0,0,195,150,45,0,45,0,0,1781
1035,3,2,26,2,1,1,66,5,1,2,6,,,6857,6363,494,436332,426080,10233,10233,2233,612,1000,621,0,0,0,0,8000,0,8000,0,0,10252,4252,4252,3934,0,200,118,0,0,0,6000,3934,0,0,0,0,0,0,0,318,0,422499,21000,12000,9000,401499,401499,0,0,3600,2300,1300,1000,300,0,0,1781
1036,3,2,26,3,1,1,68,4,3,2,6,,,3789,3670,119,15752,12641,2792,2792,1762,269,630,863,1030,1030,0,0,0,0,0,0,0,3111,3111,3111,3018,0,0,93,0,0,0,0,3018,0,0,0,0,0,0,0,93,0,12000,12000,12000,0,0,0,0,0,960,800,160,0,160,0,0,1781
1037,2,2,26,4,1,1,42,3,1,2,3,R,7,3409,3364,45,33348,28750,2278,2278,2278,325,80,1873,0,0,0,0,0,0,0,0,0,4598,4598,4598,4500,0,0,98,0,0,0,0,4500,0,0,0,0,0,0,0,98,0,31000,12000,12000,0,19000,19000,0,0,70,0,70,0,70,0,0,1781
1038,3,2,26,1,2,2,87,1,3,3,6,,,1705,1659,46,7440,7440,7120,120,120,120,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,320,0,320,0,0,4537
1039,2,2,26,2,2,1,67,3,1,2,3,I,8,2528,2288,240,22023,19316,6922,922,622,230,0,392,300,300,0,0,0,0,0,6000,0,2707,2707,2707,2657,0,0,50,0,0,0,0,2657,0,0,0,0,0,0,0,50,0,15000,15000,0,15000,0,0,0,0,101,0,101,0,101,0,0,1781
104,2,2,48,2,1,2,76,2,1,3,2,F,0,4793,4678,115,153584,145334,5784,5784,3784,3730,54,0,2000,2000,0,0,0,0,0,0,0,8250,8250,8250,8250,0,0,0,0,0,0,0,8250,0,0,0,0,0,0,0,0,0,145000,145000,145000,0,0,0,0,0,2800,1300,1500,0,1500,0,0,1159
1040,1,2,26,7,1,2,31,5,1,1,1,N,2,5400,5237,163,25314,15537,4804,4804,1304,620,0,684,3500,3500,0,0,0,0,0,0,0,9777,4777,4777,4674,0,0,103,0,0,0,5000,4674,0,0,0,0,0,0,0,103,0,20000,20000,12000,8000,0,0,0,0,510,100,410,0,410,0,0,1781
1041,2,2,26,2,1,1,62,3,3,2,3,G,2,2247,2100,147,12825,10525,405,405,405,405,0,0,0,0,0,0,0,0,0,0,0,2300,2300,2300,2280,0,0,20,0,0,0,0,2280,0,0,0,0,0,0,0,20,0,12000,12000,12000,0,0,0,0,0,420,300,120,0,120,0,0,1781
